team,primary_color,secondary_color
MIBR,#2d3f67,white
FlyQuest,#0b8a4d,#fcd32a
HEROIC,#ff0000,white
3DMAX,#e41213,#212121
9 Pandas,#7ff606,#01c2fc
Liquid,#33436e,white
fnatic,#fe5900,black
Spirit,#3d3a3f,white
Astralis,#ff0000,#63363e
Wildcard,#22acf9,#fb283c
ENCE,#ffc05b,black
Falcons,#01be6e,black
BIG,white,#154c79
SAW,#e0c58b,#007737
Metizport,#00ff37,black
Vitality,#ffff00,#23232a
Complexity,#c3151c,white
Virtus.pro,#f84e02,#101820
Eternal Fire,#a19270,white
Fluxo,white,#273240
FaZe,#e0012c,black
M80,#d7ff02,#222b3c
Imperial fe,#0bd765,black
Natus Vincere,#fff123,#a59ca0
FURIA,#313133,#dbbb69
Nemiga,#e00001,white
G2,#ee3d23,#281f25
B8,white,#00c96b
BetBoom,#fe4656,white
MOUZ,red,white
GamerLegion,#0096d7,#161d31
paiN,#ef2940,white
